Municipalité,# Logements,Superficie (km^2),Logements/hectare,Type d'habitat,Sur l'île?
Baie-d'Urfé,1423,6.03,2.4,2,Oui
Beaconsfield,6811,11.01,6.2,3,Oui
Côte-Saint-Luc,14302,6.95,20.6,3,Oui
Dollard-Des-Ormeaux,17355,15.1,11.5,3,Oui
Dorval,8433,22.88,3.7,2,Oui
Hampstead,2656,1.79,14.8,3,Oui
Kirkland,6921,9.64,7.2,3,Oui
L'Île-Dorval,59,0.18,3.3,2,Oui
Mont-Royal,7391,7.66,9.6,3,Oui
Montréal,813819,365.13,22.3,3,Oui
Montréal-Est,1784,12.45,1.4,2,Oui
Montréal-Ouest,1929,1.41,13.7,3,Oui
Pointe-Claire,12482,18.88,6.6,3,Oui
Sainte-Anne-de-Bellevue,2202,10.57,2.1,2,Oui
Senneville,374,7.49,0.5,1,Oui
Westmount,9452,4.02,23.5,3,Oui
Beauharnois,5585,69.09,0.8,1,Non
Beloeil,8597,24.09,3.6,2,Non
Blainville,19272,55.1,3.5,2,Non
Bois-des-Filion,3965,4.28,9.3,3,Non
Boisbriand,10337,27.75,3.7,2,Non
Boucherville,16521,70.81,2.3,2,Non
Brossard,32099,45.2,7.1,3,Non
Calixa-Lavallée,221,32.21,0.1,1,Non
Candiac,7580,17.59,4.3,2,Non
Carignan,2898,62.31,0.5,1,Non
Chambly,10093,25.11,4,2,Non
Charlemagne,2863,2.16,13.3,3,Non
Châteauguay,18429,35.89,5.1,2,Non
Contrecoeur,2882,4.31,6.7,3,Non
Delson,2911,7.59,3.8,2,Non
Deux-Montagnes,7116,6.16,11.6,3,Non
Hudson,2229,21.9,1,2,Non
L'Assomption,8189,98.9,0.8,1,Non
L'Île-Cadieux,59,0.57,1,2,Non
L'Île-Perrot,4701,5.56,8.5,3,Non
La Prairie,9346,43.28,2.2,2,Non
Laval,159509,247.09,6.5,3,Non
Léry,1037,10.57,1,2,Non
Les Cèdres,2408,77.85,0.3,1,Non
Longueuil,106499,115.59,9.2,3,Non
Lorraine,3294,6.04,5.5,2,Non
Mascouche,16290,106.64,1.5,2,Non
McMasterville,2261,3.1,7.3,3,Non
Mercier,4454,45.95,1,2,Non
Mirabel,16374,485.59,0.3,1,Non
Mont Ste-Hilaire,7406,44.29,1.7,2,Non
Notre-Dame-de-l'Île-Perrot,3768,27.8,1.4,2,Non
Oka,1633,57.3,0.3,1,Non
Otterburn Park,3256,5.35,6.1,3,Non
Pincourt,5320,7.54,7.1,3,Non
Pointe-Calumet,2636,4.63,5.7,2,Non
Pointe-des-Cascades,600,2.67,2.2,2,Non
Repentigny,33309,61.79,5.4,2,Non
Richelieu,2268,31.02,0.7,1,Non
Rosemère,5185,10.77,4.8,2,Non
Sainte-Anne-des-Plaines,5185,92.81,0.6,1,Non
Saint-Amable,4122,36.68,1.1,2,Non
Saint-Basile-le-Grand,6235,36.1,1.7,2,Non
Saint-Bruno-de-Montarville,10166,43.28,2.3,2,Non
Saint-Constant,9109,56.83,1.6,2,Non
Saint-Eustache,18361,69.61,2.6,2,Non
Saint-Isidore,1011,51.94,0.2,1,Non
Saint-Jean-Baptiste,1365,72.41,0.2,1,Non
Saint-Joseph-du-Lac,2325,41.38,0.6,1,Non
Saint-Lambert,10419,7.55,13.8,3,Non
Saint-Lazare,6546,66.62,1,2,Non
Saint-Mathias-sur-Richelieu,1911,47.2,0.4,1,Non
Saint-Mathieu,783,31.59,0.2,1,Non
Saint-Mathieu-de-Beloeil,913,39.85,0.2,1,Non
Saint-Philippe,2129,62.07,0.3,1,Non
Saint-Sulpice,1375,36.38,0.4,1,Non
Sainte-Catherine,6559,9.5,6.9,3,Non
Sainte-Julie,10914,49.53,2.2,2,Non
Sainte-Marthe-sur-le-Lac,6167,9.31,6.6,3,Non
Sainte-Thérèse,12713,9.58,13.3,3,Non
Terrasse-Vaudreuil,829,1.04,8,3,Non
Terrebonne,40282,154.74,2.6,2,Non
Varennes,8001,92.53,0.9,1,Non
Vaudreuil-Dorion,13292,72.52,1.8,2,Non
Vaudreuil-sur-le-Lac,479,1.37,3.5,2,Non
Verchères,2406,73.27,0.3,1,Non